#hashtags;application-site
Acoon-Robot;application-site
Acorn;application-site
Acqlite;application-site
Acquisition;application-site
Acrobat.com;application-site
Acrobits Softphone;application-site
Acronis Snap Deploy;application-site
Acronis TrueImage;application-site
Act Mobile;application-site
Act!;application-site
Action AllStars;application-site
actionthis;application-site
Active Directory;application-site
Active Directory or LDAP Entries;CpmiGroupDataType
Active Web Reader;application-site
ActiveCampaign;application-site
ActiveCampaign Import;application-site
activeciti;application-site
ActiveCollab;application-site
ActiveMQ;application-site
ActiveSync Protocol;application-site
ActiveWorlds;application-site
Activist Passions;application-site
Activtrak;application-site
AcTVila;application-site
AD or LDAP Attributes and Classes;CpmiDictionaryDataType
AD or LDAP Distinguished Names;CpmiPatternDataType
AD_Dcerpc_services;service-group
adegga;application-site
Adidxbot;application-site
AdiIRC;application-site
Adirbot;application-site
Adium;application-site
ADNstream;application-site
Adobe Behance;application-site
Adobe Behance-upload;application-site
Adobe Connect;application-site
Adobe Connect-meeting;application-site
Adobe Connect-meeting-file sharing;application-site
Adobe Connect-meeting-remote control;application-site
Adobe Connect-meeting-screen sharing;application-site
Adobe Creative Cloud;application-site
Adobe Creative Cloud-file transfer;application-site
Adobe Document Cloud;application-site
Adobe Document Cloud-download;application-site
Adobe Flash;application-site
Adobe Flash-streaming;application-site
Adobe FormsCentral;application-site
Adobe FormsCentral-download;application-site
Adobe FormsCentral-upload;application-site
Adobe Online Office;application-site
Adobe Photoshop Express;application-site
Adobe Services;application-site
Adobe TypeKit;application-site
Adobe Update;application-site
ADrive;application-site
Adrocket;application-site
AdsBot;application-site
AdSenserBot;application-site
Adult Friend Finder;application-site
Advanced Message Queuing Protocol;application-site
Advisor Garage;application-site
Advogato;application-site
AdWorld;application-site
AeroAdmin;application-site
AeroFS;application-site
Aerohive cloud controller;application-site
Aerospike;application-site
Afaria;application-site
AffinityLive;application-site
Afreeca;application-site
African American Opinion;application-site
afrigator;application-site
After School;application-site
AfterBeep;application-site
Agent B;application-site
AgentX;application-site
Aggie;application-site
AgileRss;application-site
Agiloft;application-site
Agree'nSign;application-site
Agree'nSign-download;application-site
Agree'nSign-upload;application-site
AH;service-other
ah-ha.com crawler;application-site
AhnLab V3 Lite;application-site
AHS Nation;application-site
AIBOT;application-site
aiderss;application-site
Aidpeople.org;application-site
AIM;application-site
AIM Express;application-site
AIM Express-file transfer;application-site
AIM Mobile;application-site
AIM Tunes;application-site
AIM-audio chat;application-site
AIM-file transfer;application-site
AIM-video chat;application-site
Aimini;application-site
aipbot;application-site
Air Video;application-site
AirAIM;application-site
airbackup;application-site
Airbnb;application-site
AirDroid;application-site
Airline Mogul;application-site
Airline Ticket Identification Number;CpmiPatternDataType
AirSet;application-site
airtalkr;application-site
Airtime;application-site
Airvpn;application-site
AirWatch Mobile Device Management;application-site
ajaxdaddy;application-site
ajaxim;application-site
AjaxPlay.com;application-site
ajchat;application-site
Akamai NetSession Interface;application-site
Akeni Pro Messenger;application-site
AKHBOT;application-site
Akoha;application-site
Alawar Game Box;application-site
Albania Classification Terms;CpmiWordsDataType
Albania IBAN;CpmiPatternDataType
Alcatel-Lucent Conferencing;application-site
Alcohol & Tobacco;application-site-category
alef.bot;application-site
alefo;application-site
Alertbear;application-site
alertle;application-site
Alerts;application-site
Alexa Toolbar;application-site
Alexibot;application-site
Alfred;application-site
Alfresco;application-site
Alice Messenger;application-site
AliExpress;application-site
Alipay;application-site
Alisoft;application-site
AliveChat;application-site
AliveProxy;application-site
AliWangWang;application-site
AliWangWang-audio-video;application-site
AliWangWang-file-transfer;application-site
AliWangWang-remote-control;application-site
All of Craigs;application-site
All Slots Online Casino;application-site
ALL_DCE_RPC;service-dce-rpc
All_DHCPv6_Relay_Agents_and_Servers;multicast-address-range
All_DHCPv6_Servers;multicast-address-range
All_Internet;address-range
allcdcovers;application-site
AllGirlArcade.com;application-site
allmydata;application-site
allomatch;application-site
AllPeers;application-site
ALLPlayer;application-site
Allrati.bot;application-site
AlmostMeet;application-site
Alonia;application-site
Alpemix;application-site
alpha;application-site
Alpha-anywhere;application-site
Alt.bitworld.to;application-site
altablogs;application-site
AltarSoft Download Manager;application-site
AltaVista;application-site
Altiris;application-site
AltME;application-site
AlumWire;application-site
Amap;application-site
Amaze VPN;application-site
Amazon;application-site
Amazon Assistant;application-site
Amazon AWS Management Console;application-site
Amazon Cloud Drive;application-site
Amazon Cloud Drive Photos;application-site
Amazon Cloud Drive-download;application-site
Amazon Cloud Drive-upload;application-site
Amazon Cloud Player;application-site
Amazon EC2;application-site
Amazon Mobile;application-site
Amazon Prime Video;application-site
Amazon S3;application-site
Amazon S3-upload;application-site
Amazon Unbox;application-site
Amazon Web Services (AWS);application-site
Amazon-redshift;application-site
AmboCarta;application-site
Ameba;application-site
Ameba-blog-posting;application-site
Ameba-now;application-site
Ameba-now-posting;application-site
American Express Travelers Cheques Number;CpmiPatternDataType
Ameridum Chat;application-site
Amfibibot;application-site
Amiglia;application-site
Ammyy Admin;application-site
Amoeba Blog Posting;application-site
AmphetaDesk;application-site
Amphibian;application-site
Amplify;application-site
Ampx2-download;application-site
Ampx2-uplaod;application-site
AMS Protocol;application-site
AMS Protocol - ADS Add Device Notification;application-site
AMS Protocol - ADS Delete Device Notification;application-site
AMS Protocol - ADS Device Notification;application-site
AMS Protocol - ADS Read;application-site
AMS Protocol - ADS Read Device Info;application-site
AMS Protocol - ADS Read State;application-site
AMS Protocol - ADS Read Write;application-site
AMS Protocol - ADS Write;application-site
AMS Protocol - ADS Write Control;application-site
aMSN;application-site
Amuso;application-site
Anatomic P2P;application-site
Ancestry.com;application-site
Andorra IBAN;CpmiPatternDataType
Androrat;application-site
Angel Backup;application-site
Anguilla Phone Numbers;CpmiPatternDataType
Animebw.com;application-site
aNobii;application-site
Anonine;application-site
Anonymizer;application-site-category
Anonymizer Universal;application-site
Anonymizers/proxy avoidance sites;application-site
Anonymouse;application-site
AnonymousIndex;application-site
Anonymox;application-site
Anonytun VPN;application-site
Answerbase;application-site
Answerbase-upload;application-site
AnswerBus.bot;application-site
Anthracite;application-site
Anti-Bot Blocked;DropUserCheckInteractionScheme
Anti-Virus Blocked;DropUserCheckInteractionScheme
antibot;application-site
Antigua and Barbuda Phone Numbers;CpmiPatternDataType
Ants P2P;application-site
Anubis P2P;application-site
Anvilofsound.com;application-site
Any File;CpmiCustomDataType
Any.do;application-site
AnyApexBot;application-site
AnyDesk;application-site
AnyMeeting;application-site
Anyplace Control;application-site
anyTV Pro;application-site
anyvite;application-site
AnyWhere Explorer;application-site
AOL;service-tcp
Aol Answers;application-site
Aol Answers-posting;application-site
AOL Desktop;application-site
AOL Lifestream;application-site
AOL Mail;application-site
AOL Mail-download;application-site
AOL Mail-upload;application-site
AOL Radio;application-site
AOL toolbar;application-site
AOL_Messenger;service-group
AP Village;application-site
AP-Defender;service-tcp
Apache Kafka;application-site
Apache Solr;application-site
Apache ZooKeeper;application-site
Apache-jserv;application-site
apatar;application-site
apcwinteractive;application-site
Apexoo Spider;application-site
Aplus Conferencing;application-site
Apna Web;application-site
App Store;application-site
App Threasure;application-site
Appcelerator;application-site
AppDynamics;application-site
appear.in;application-site
AppFresh;application-site
AppGuru;application-site
Apple AirPlay;application-site
Apple Daily-video;application-site
Apple Game Center;application-site
Apple Location Service;application-site
Apple Maps;application-site
Apple News;application-site
Apple PubSub;application-site
Apple Push Notification Service;application-site
Apple Remote Desktop;application-site
Apple Services;application-site
Apple Siri;application-site
Apple Software Update;application-site
Apple Volume Purchase Program;application-site
Applejuice;application-site
appointy;application-site
AppSmile;application-site
apptism;application-site
Apptivo CRM;application-site
AppVPN;application-site
AppWiki;application-site
Apt-get;application-site
Aptana Studio 3;application-site
Apture;application-site
AquaticNet.com;application-site
ArabyBot;application-site
aranhabot;application-site
AraSpace.com;application-site
ArcGIS;application-site
archie;service-udp
Architects Network;application-site
Archivd;application-site
Archive File;CpmiFileDataType
ARCserve Backup;application-site
ARCserve D2D;application-site
ARCserve RHA;application-site
Arctic Torrent;application-site
ArenAsia;application-site
Ares;application-site
Ares Destiny;application-site
Ares Galaxy;application-site
Argentina Classification Terms;CpmiWordsDataType
ARGUS;application-site
Aria RSS News Reader;application-site
Aria2;application-site
Arkadin Web Conferencing;application-site
Arles Download Manager;application-site
Armenian Radio Stver;application-site
Art / Culture;application-site-category
ArtBreak;application-site
ArtFlock;application-site
ArtistData;application-site
Arto;application-site
AS2;application-site
Asana;application-site
Asana- file transfer;application-site
ASF Streaming;application-site
Ashampoo ClipFinder;application-site
Asian Avenue;application-site
AsianAve;application-site
Asiandvdclub.org;application-site
ASIC or FPGA Designs;CpmiGroupDataType
Ask Toolbar;application-site
Ask User;CpmiDlpUserCheckInteractionScheme
Ask.com;application-site
ask.fm;application-site
Ask500People;application-site
Askablogr;application-site
Askeet;application-site
AskItOnline;application-site
AskOnTwitter;application-site
aSmallWorld;application-site
Asoboo;application-site
Aspen Conferencing;application-site
ASProxy;application-site
Assasin-torrents.co.uk;application-site
Assistant;application-site
asterias;application-site
Asterisk;application-site
ASTERIX (ATC standard);application-site
ASTERIX Protocol (Cat002) - Activation of Blind Zone Filtering Message;application-site
ASTERIX Protocol (Cat002) - North Marcker Message;application-site
ASTERIX Protocol (Cat002) - Sector Crossing Message;application-site
ASTERIX Protocol (Cat002) - South Marker Message;application-site
ASTERIX Protocol (Cat002) - Stop of Blind Zone Filtering Message;application-site
ASTERIX Protocol (Cat008) - Cartesian Start Point and End Point Vector Message;application-site
ASTERIX Protocol (Cat008) - Cartesian Vector of Start Point Message;application-site
ASTERIX Protocol (Cat008) - Contour Record Message;application-site
ASTERIX Protocol (Cat008) - EOP Message;application-site
ASTERIX Protocol (Cat008) - Polar Vector Message;application-site
ASTERIX Protocol (Cat008) - SOP Message;application-site
ASTERIX Protocol (Cat010) - Event Triggered Status Message;application-site
ASTERIX Protocol (Cat010) - Periodic Status Message;application-site
ASTERIX Protocol (Cat010) - Start of Update Cycle;application-site
ASTERIX Protocol (Cat010) - Target Report;application-site
ASTERIX Protocol (Cat019) - Event triggered Status Message;application-site
ASTERIX Protocol (Cat019) - Peroidic Status Message;application-site
ASTERIX Protocol (Cat019) - Start of Upload Cycle;application-site
ASTERIX Protocol (Cat023) - Ground Station Status Report;application-site
ASTERIX Protocol (Cat023) - Service Statistics Report;application-site
ASTERIX Protocol (Cat023) - Service Status Report;application-site
ASTERIX Protocol (Cat034) - Geographical Filtering Message;application-site
ASTERIX Protocol (Cat034) - Jamming Strobe Message;application-site
ASTERIX Protocol (Cat034) - North Marker Message;application-site
ASTERIX Protocol (Cat034) - Sector Crossing Message;application-site
ASTERIX Protocol - CNS/ATM Ground Station Service Messages(Cat023);application-site
ASTERIX Protocol - Multilateration System Status Messages(Cat019);application-site
ASTERIX Protocol - Multilateration Target Reports (Cat020);application-site
ASTERIX Protocol - Remote Station Monitoring and Control Information(Cat253);application-site
ASTERIX Protocol - System Track Data(Cat062);application-site
ASTERIX Protocol - Transmission of ADS-B Messages(Cat021);application-site
ASTERIX Protocol - Transmission of Directed Interrogation Message(Cat007);application-site
ASTERIX Protocol - Transmission of Monoradar Data Target Reports (Cat001);application-site
ASTERIX Protocol - Transmission of Monoradar Derived Weather Information(Cat008);application-site
ASTERIX Protocol - Transmission of Monoradar Service Messages(Cat002);application-site
ASTERIX Protocol - Transmission of Monoradar Service Messages(Cat034);application-site
ASTERIX Protocol - Transmission of Monoradar Target Reports (Cat048);application-site
ASTERIX Protocol - Transmission of Monosensor Surface Movement Data(Cat010);application-site
ASTERIX Protocol - Transmission of TIS-B Management Message(Cat022);application-site
Asus Webstorage;application-site
Asus Webstorage-upload;application-site
AT&T Cloud;application-site
AT&T Locker;application-site
AT-Defender;service-tcp
AteoMessenger;application-site
Atheist Passions;application-site
Atlas;application-site
AtlasGrid.Spider;application-site
Atlassian;application-site
ATM Transaction;application-site
ATM Transaction-account exception;application-site
ATM Transaction-account verification;application-site
ATM Transaction-account verification for instant cheque deposit;application-site
ATM Transaction-auto recon;application-site
ATM Transaction-bill payment details request;application-site
ATM Transaction-cash deposit;application-site
ATM Transaction-cash withdraw;application-site
ATM Transaction-cash withdrawal correction;application-site
ATM Transaction-change password;application-site
ATM Transaction-change password correction;application-site
ATM Transaction-check balance;application-site
ATM Transaction-cheque book request;application-site
ATM Transaction-deposit total request;application-site
ATM Transaction-inquire instant cheque deposit totals;application-site
ATM Transaction-inquiry;application-site
ATM Transaction-instant cheque deposit;application-site
ATM Transaction-interbank transfer (tranfer in);application-site
ATM Transaction-interbank transfer request (transfer out);application-site
ATM Transaction-interbank transfer reversal request;application-site
ATM Transaction-intra-bank transfer;application-site
ATM Transaction-intra-bank transfer correction;application-site
ATM Transaction-jet payment;application-site
ATM Transaction-jet payment correction;application-site
ATM Transaction-NCR KYC;application-site
ATM Transaction-other exception;application-site
ATM Transaction-overseas transaction;application-site
ATM Transaction-overseas transaction status inquiry;application-site
ATM Transaction-pin change;application-site
ATM Transaction-pos overseas transaction;application-site
ATM Transaction-POS overseas transaction status inquiry;application-site
ATM Transaction-purchase;application-site
ATM Transaction-reset instant cheque deposit totals;application-site
ATM Transaction-reset transmission key;application-site
ATM Transaction-script processing result notification;application-site
ATM Transaction-statement request;application-site
ATM Transaction-totals inquiry request;application-site
ATM Transaction-TPN reversal;application-site
ATM Transaction-transfer total request;application-site
ATM Transaction-transferee account validate request;application-site
ATM Transaction-void purchase;application-site
ATM Transaction-void purchase correction;application-site
ATM Transaction-withdrawal total request;application-site
ATM Transaction-withdrawals slip request;application-site
ATMA Protocol;application-site
atmail;application-site
Atom Publishing Protocol;application-site
AtomVPN;application-site
atraxbot;application-site
ATSA Chat;application-site
ATT Connect;application-site
aTube Catcher;application-site
Audible;application-site
Audio Tagging Tools;application-site
AudioBoo;application-site
Audiofarm;application-site
audioGnome;application-site
Audioyo;application-site
AUPEO!;application-site
Auroracoin;application-site
Australia Bank-State-Branch;CpmiPatternDataType
Australia Classification Terms;CpmiWordsDataType
Australia Personal Names;CpmiDictionaryDataType
Australia Surnames;CpmiDictionaryDataType
Australia Tax File Number;CpmiPatternDataType
Australian Business Number - ABN;CpmiPatternDataType
Austria Classification Terms;CpmiWordsDataType
Austria EU Data Protection Directive;CpmiCompoundDataType
Austria IBAN;CpmiPatternDataType
Austria Names and Surnames;CpmiCompoundDataType
Austria Personal Information Headers;CpmiDictionaryDataType
Austria Personal Names;CpmiDictionaryDataType
Austria Phone Numbers;CpmiPatternDataType
Austria Social Security Number;CpmiPatternDataType
Austria Surnames;CpmiDictionaryDataType
Austria VAT Number;CpmiPatternDataType
Authenticated;service-group
authorSTREAM;application-site
Autobahn;application-site
Autodesk Buzzsaw;application-site
Autodesk360;application-site
AutoDesk360-download;application-site
AutoDesk360-upload;application-site
Autodiscover;application-site
AuxiliaryNet;dynamic-object
AV Webcam Morpher;application-site
Avanquest SendPhotos;application-site
avast! Antivirus;application-site
avast! Antivirus-update;application-site
avast! Online Security;application-site
avast! Services;application-site
Avatars United;application-site
AvayaLive;application-site
AvayaLive Engage;application-site
AvayaLive Engage-desktop sharing;application-site
AvayaLive Engage-file transfer;application-site
AvayaLive Engage-voice;application-site
AVG AntiVirus Security;application-site
AVG-Update;application-site
Aviary;application-site
Aviation Jargon;CpmiDictionaryDataType
Avira Antivir-update;application-site
Avira Phantom VPN;application-site
Avoidr;application-site
Avvo;application-site
Awahili.Spider;application-site
Awasu;application-site
Axel;application-site
AxiFile;application-site
Axmate;application-site
Axonize-bot;application-site
Axure RP;application-site
Azar;application-site
B*sh;application-site
B4class;application-site
Baagz;application-site
Babbel;application-site
Babelgum;application-site
BaboomBot;application-site
Babylon;application-site
BabySpot.com;application-site
Backage;service-tcp
Backazon;application-site
BackBlaze;application-site
BackDoorBot;application-site
BackPack;application-site
Backup EXEC;application-site
Backup2Net;application-site
BackupandShare;application-site
BackUPMAX;application-site
BackupMyHomePC;application-site
BackupURL;application-site
backweb;service-other
BACNet Protocol (Building Automation and Control Networks);application-site
BACNet Protocol - Abort;application-site
BACNet Protocol - AcknowledgeAlarm;application-site
BACNet Protocol - Add List Element;application-site
BACNet Protocol - Atomic Read File;application-site
BACNet Protocol - Atomic Write File;application-site
BACNet Protocol - Authenticate;application-site
BACNet Protocol - Complex Ack;application-site
BACNet Protocol - Confirmed COV Notification;application-site
BACNet Protocol - Confirmed Event Notification;application-site
BACNet Protocol - Confirmed Private Transfer;application-site
BACNet Protocol - Confirmed Reinitialize Device;application-site
BACNet Protocol - Confirmed Text Message;application-site
BACNet Protocol - Create Object;application-site
BACNet Protocol - Delete Object;application-site
BACNet Protocol - Device Communication Control;application-site
BACNet Protocol - Disconnect Connection To Network;application-site
BACNet Protocol - Error;application-site
BACNet Protocol - Error Acknowledge Alarm;application-site
BACNet Protocol - Error Add List Element;application-site
BACNet Protocol - Error Atomic Read File;application-site
BACNet Protocol - Error Atomic Write File;application-site
BACNet Protocol - Error Authenticate;application-site
BACNet Protocol - Error Confirmed COV Notification;application-site
BACNet Protocol - Error Confirmed Event Notification;application-site
BACNet Protocol - Error Create Object;application-site
BACNet Protocol - Error Delete Object;application-site
BACNet Protocol - Error Device Communication Control;application-site
BACNet Protocol - Error Get Alarm Summary;application-site
BACNet Protocol - Error Get Enrollment Summary;application-site
BACNet Protocol - Error Get Event Information;application-site
BACNet Protocol - Error Life Safety Operation;application-site
BACNet Protocol - Error Private Transfer;application-site
BACNet Protocol - Error Read Property;application-site
BACNet Protocol - Error Read Property Conditional;application-site
BACNet Protocol - Error Read Property Multiple;application-site
BACNet Protocol - Error Read Range;application-site
BACNet Protocol - Error Reinitialize Device;application-site
BACNet Protocol - Error Remove List Element;application-site
BACNet Protocol - Error Request Key;application-site
BACNet Protocol - Error Subscribe COV;application-site
BACNet Protocol - Error Subscribe COV Property;application-site
BACNet Protocol - Error Text Message;application-site
BACNet Protocol - Error VT Close;application-site
BACNet Protocol - Error VT Data;application-site
BACNet Protocol - Error VT Open;application-site
BACNet Protocol - Error Write Property;application-site
BACNet Protocol - Error Write Property Multiple;application-site
BACNet Protocol - Establish Connection To Network;application-site
BACNet Protocol - Get Alarm Summary;application-site
BACNet Protocol - Get Enrollment Summary;application-site
BACNet Protocol - Get Event Information;application-site
BACNet Protocol - I am;application-site
BACNet Protocol - I Am Router To Network;application-site
BACNet Protocol - I Could Be Router To Network;application-site
BACNet Protocol - I Have;application-site
BACNet Protocol - Initialize Routing Table Ack;application-site
BACNet Protocol - Initialize-Routing-Table;application-site
BACNet Protocol - Life Safety Operation;application-site
BACNet Protocol - Read Property;application-site
BACNet Protocol - Read Property Conditional;application-site
BACNet Protocol - Read Property Multiple;application-site
BACNet Protocol - Read Range;application-site
BACNet Protocol - Reject;application-site
BACNet Protocol - Reject Message To Network;application-site
BACNet Protocol - Remove List Element;application-site
BACNet Protocol - Request Key;application-site
BACNet Protocol - Router Available To Network;application-site
BACNet Protocol - Router Busy To Network;application-site
BACNet Protocol - Segment Ack;application-site
BACNet Protocol - Simple Ack;application-site
BACNet Protocol - Subscribe COV;application-site
BACNet Protocol - Subscribe COV Property;application-site
BACNet Protocol - Unconfirmed COV Notification;application-site
BACNet Protocol - Unconfirmed Event Notification;application-site
BACNet Protocol - Unconfirmed Private Transfer;application-site
BACNet Protocol - Unconfirmed Text Message;application-site
BACNet Protocol - Unconfirmed Time Synchronization;application-site
BACNet Protocol - Unconfirmed UTC Time Synchronization;application-site
BACNet Protocol - VT Close;application-site
BACNet Protocol - VT Data;application-site
BACNet Protocol - VT Open;application-site
BACNet Protocol - Who Has;application-site
BACNet Protocol - Who Has Access Credential;application-site
BACNet Protocol - Who Has Access Door;application-site
BACNet Protocol - Who Has Access Point;application-site
BACNet Protocol - Who Has Access Rights;application-site
BACNet Protocol - Who Has Access User;application-site
BACNet Protocol - Who Has Access Zone;application-site
BACNet Protocol - Who Has Accumulator;application-site
BACNet Protocol - Who Has Analog Input;application-site
BACNet Protocol - Who Has Analog Output;application-site
BACNet Protocol - Who Has Analog Value;application-site
BACNet Protocol - Who Has Averaging;application-site
BACNet Protocol - Who Has Binary Input;application-site
BACNet Protocol - Who Has Binary Output;application-site
BACNet Protocol - Who Has Binary Value;application-site
BACNet Protocol - Who Has Bitstring Value;application-site
BACNet Protocol - Who Has Calendar;application-site
BACNet Protocol - Who Has Command;application-site
BACNet Protocol - Who Has Context Specific Object;application-site
BACNet Protocol - Who Has Credential Data Input;application-site
BACNet Protocol - Who Has Date Pattern Value;application-site
BACNet Protocol - Who Has Date Value;application-site
BACNet Protocol - Who Has DateTime Pattern Value;application-site
BACNet Protocol - Who Has device;application-site
BACNet Protocol - Who Has Event Enrollment;application-site
BACNet Protocol - Who Has Event Log;application-site
BACNet Protocol - Who Has File;application-site
BACNet Protocol - Who Has Global Group;application-site
BACNet Protocol - Who Has Group;application-site
BACNet Protocol - Who Has Integer Value;application-site
BACNet Protocol - Who Has Large Analog Value;application-site
BACNet Protocol - Who Has Life Safety Point;application-site
BACNet Protocol - Who Has Life Safety Zone;application-site
BACNet Protocol - Who Has Loop;application-site
BACNet Protocol - Who Has Multi State Input;application-site
BACNet Protocol - Who Has Multi State Output;application-site
BACNet Protocol - Who Has Multi State Value;application-site
BACNet Protocol - Who Has Network Security;application-site
BACNet Protocol - Who Has Notification Class;application-site
BACNet Protocol - Who Has Octetstring Value;application-site
BACNet Protocol - Who Has Program;application-site
BACNet Protocol - Who Has Pulse Converter;application-site
BACNet Protocol - Who Has Pulse Load Control;application-site
BACNet Protocol - Who Has Schedule;application-site
BACNet Protocol - Who Has Structured View;application-site
BACNet Protocol - Who Has Time Pattern Value;application-site
BACNet Protocol - Who Has Time Value;application-site
BACNet Protocol - Who Has Trend Log;application-site
BACNet Protocol - Who Has Trend Log Multiple;application-site
BACNet Protocol - Who Is;application-site
BACNet Protocol - Who Is Router To Network;application-site
BACNet Protocol - Write Property;application-site
BACNet Protocol - Write Property Multiple;application-site
Bacula;application-site
Bacula-backup;application-site
Bacula-restore;application-site
BadBlue;application-site
Badongo;application-site
Badoo;application-site
Bahamas Phone Numbers;CpmiPatternDataType
Bahu;application-site
Baidu Browser-mobile;application-site
Baidu Hi;application-site
Baidu Hi-cloud;application-site
Baidu Hi-cloud-download;application-site
Baidu Hi-cloud-upload;application-site
Baidu Hi-download;application-site
Baidu Hi-file transfer;application-site
Baidu Hi-games;application-site
Baidu Hi-upload;application-site
Baidu Hi-video chat;application-site
Baidu Hi-voice chat;application-site
Baidu Hi-web messenger;application-site
Baidu Image Search;application-site
Baidu IME;application-site
Baidu Know Search;application-site
Baidu Maps Search;application-site
Baidu MP3 Search;application-site
Baidu Music;application-site
Baidu News Search;application-site
Baidu PCFaster;application-site
Baidu Player;application-site
Baidu Posted It Search;application-site
Baidu Services;application-site
Baidu Space;application-site
Baidu Video Search;application-site
Baidu Web Search;application-site
BakeSpace.com;application-site
Balihoo;application-site
Balsamiq Mockups;application-site
Bamboo Cloud;application-site
Bamboo Server;application-site
BambooHR;application-site
Banckle;application-site
Banckle-Campaign;application-site
Banckle-Chat;application-site
Banckle-CRM;application-site
Banckle-Email;application-site
Banckle-Helpdesk;application-site
Banckle-Meeting;application-site
BAND;application-site
BandBUZZ;application-site
Bandcamp;application-site
Bandcamp-Audio;application-site
BandChemistry;application-site
BandWagon;application-site
Bank Account Numbers;CpmiPatternDataType
Bank Identifier Code - SWIFT Code 11;CpmiDictionaryDataType
Bank Identifier Code - SWIFT Code 8;CpmiDictionaryDataType
BaoBao Beng Beng;application-site
Baofeng;application-site
Barbados Phone Numbers;CpmiPatternDataType
BarbieGirls;application-site
Barca.Spider;application-site
BarkleyAndPaws.com;application-site
Basalt.Spider;application-site
Base;application-site
Base-upload;application-site
BASE24 Reporting;application-site
Basecamp;application-site
Basket-torrent.webpark.pl;application-site
BasketBallZone;application-site
Batchbook;application-site
Battle Camp;application-site
Battle.Net;application-site
Battlefield 1942;application-site
Battlefield 2;application-site
Baveo;application-site
BBC;application-site
BBC iPlayer;application-site
BBCP;application-site
BBN RCC Monitoring;application-site
BBODISK;application-site
BBODISK-download;application-site
Be-Bratz.com;application-site
Beam;application-site
BeamYourScreen;application-site
Beanbag;application-site
Beanie Babies 2.0;application-site
Beanstalk;application-site
BeAnywhere;application-site
BeAnywhere Support Express;application-site
BearShare;application-site
Beats Music;application-site
Bebo;application-site
Bebo-mail;application-site
BebopBot;application-site
BecomeBot;application-site
BecomeMyOwnBoss.Ning.com;application-site
Befter;application-site
Begun.Spider;application-site
BeInSync;application-site
Belgium Bank Account Numbers;CpmiPatternDataType
Belgium Classification Terms;CpmiWordsDataType
Belgium EU Data Protection Directive;CpmiCompoundDataType
Belgium IBAN;CpmiPatternDataType
Belgium ID Card Numbers;CpmiPatternDataType
Belgium Names and Surnames;CpmiCompoundDataType
Belgium National Registration Numbers;CpmiPatternDataType
Belgium Personal Information Headers;CpmiDictionaryDataType
Belgium Personal Names;CpmiDictionaryDataType
Belgium Phone Numbers;CpmiPatternDataType
Belgium Surnames;CpmiDictionaryDataType
Belgium VAT Number;CpmiPatternDataType
Belka Player/DragonIPTV;application-site
Bella Sara;application-site
Bemaniso.ws;application-site
Benchmark;application-site
bensbot;application-site
Berkeley Internet Name Domain (BIND);application-site
Bermuda Phone Numbers;CpmiPatternDataType
BestPartyEver;application-site
BESTplayer;application-site
